역번호,위도,경도,행정동
238,35.168162,126.848539,유덕동
201,35.157955,126.848321,치평동
202,35.152441,126.848259,치평동
203,35.147238,126.848913,상무2동
204,35.144039,126.857238,쌍촌동
205,35.137381,126.858908,금호1동
206,35.132738,126.860706,금호2동
207,35.134021,126.872636,풍암동
208,35.126934,126.876891,풍암동
209,35.129958,126.886322,풍암동
210,35.133842,126.89617,주월1동
211,35.133075,126.902103,봉선1동
212,35.133892,126.910936,봉선2동
213,35.135237,126.917526,방림2동
214,35.139384,126.92287,학운동
215,35.144429,126.926185,서남동
216,35.151519,126.930706,지산2동
217,35.159298,126.931113,산수2동
218,35.164275,126.921829,문화동
219,35.166181,126.914173,중흥1동
